"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,22.722,-37.441,0
nan,nan,nan,nan,0,0.072687,22.729,-37.368,0
nan,nan,nan,nan,0,0.14538,22.736,-37.296,0
nan,nan,nan,nan,0,0.21807,22.744,-37.224,0
nan,nan,nan,nan,0,0.29076,22.751,-37.151,0
nan,nan,nan,nan,0,0.36345,22.758,-37.079,0
nan,nan,nan,nan,0,0.43614,22.766,-37.007,0
nan,nan,nan,nan,0,0.50883,22.773,-36.934,0
nan,nan,nan,nan,0,0.58152,22.78,-36.862,0
nan,nan,nan,nan,0,0.65421,22.788,-36.79,0
nan,nan,nan,nan,0,0.7269,22.795,-36.718,0
nan,nan,nan,nan,0,0.79959,22.803,-36.645,0
nan,nan,nan,nan,0,0.87228,22.81,-36.573,0
-0.00053377,3.0004,-1.3634e-21,2.1555,1,0.94497,22.817,-36.501,0
-0.0015873,3.0011,-3.8572e-21,2.1537,1,1.0177,22.825,-36.428,0
-0.0026878,3.0019,-6.2125e-21,2.1519,1,1.0903,22.832,-36.356,0
-0.0038351,3.0026,-8.4293e-21,2.1501,1,1.163,22.839,-36.284,0
-0.0050292,3.0034,-1.0508e-20,2.1483,1,1.2357,22.847,-36.211,0
-0.0062701,3.0041,-1.2448e-20,2.1465,1,1.3084,22.854,-36.139,0
-0.0074941,3.0053,-1.3581e-20,2.1433,1,1.3811,22.861,-36.067,0
-0.0086533,3.0073,-1.3585e-20,2.1376,1,1.4538,22.869,-35.994,0
-0.0098506,3.0093,-1.3631e-20,2.1319,1,1.5265,22.876,-35.922,0
-0.011086,3.0113,-1.3719e-20,2.1262,1,1.5992,22.883,-35.85,0
-0.012359,3.0133,-1.3847e-20,2.1205,1,1.6719,22.891,-35.777,0
-0.01367,3.0153,-1.4017e-20,2.1148,1,1.7446,22.898,-35.705,0
-0.014952,3.0176,-1.3745e-20,2.1084,1,1.8172,22.905,-35.633,0
-0.015971,3.0206,-1.1275e-20,2.0994,1,1.8899,22.913,-35.56,0
-0.017014,3.0237,-8.5843e-21,2.0903,1,1.9626,22.92,-35.488,0
-0.018081,3.0268,-5.6721e-21,2.0813,1,2.0353,22.927,-35.416,0
-0.019173,3.0299,-2.5389e-21,2.0722,1,2.108,22.935,-35.343,0
