# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.01            	U               	(-9.43505279e-05 9.43504707e-05 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-9.43505279e-05 9.43504707e-05 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.01            	p               	-7.44895636e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	8.40404828e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.02            	U               	(-1.72597234e-04 1.72374651e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-1.72597234e-04 1.72374651e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.02            	p               	-6.89826866e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.68149069e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.03            	U               	(-2.35291803e-04 2.34686321e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-2.35291803e-04 2.34686321e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.03            	p               	-6.84021580e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.65419319e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.04            	U               	(-2.83918891e-04 2.82807901e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-2.83918891e-04 2.82807901e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.04            	p               	-6.65244721e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.50805567e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.05            	U               	(-3.20448546e-04 3.18757768e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.20448546e-04 3.18757768e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.05            	p               	-6.45871043e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.37834731e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.06            	U               	(-3.46766148e-04 3.44470940e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.46766148e-04 3.44470940e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.06            	p               	-6.26984696e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.26698434e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.07            	U               	(-3.64543575e-04 3.61665543e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.64543575e-04 3.61665543e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.07            	p               	-6.09150338e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.17462627e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.08            	U               	(-3.75269131e-04 3.71868644e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.75269131e-04 3.71868644e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.08            	p               	-5.92606840e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.10040356e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.09            	U               	(-3.80208592e-04 3.76371793e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.80208592e-04 3.76371793e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.09            	p               	-5.77235343e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	7.03974078e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.1             	U               	(-3.80423383e-04 3.76252043e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.80423383e-04 3.76252043e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.1             	p               	-5.62791159e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	6.98987129e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.11            	U               	(-3.76891964e-04 3.72498101e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.76891964e-04 3.72498101e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.11            	p               	-5.49959457e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	6.95070115e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
0.12            	U               	(-3.70390726e-04 3.65876528e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)	(-3.70390726e-04 3.65876528e-04 0.00000000e+00)	(2.50000000e-02 2.50000000e-02 5.00000000e-01)
0.12            	p               	-5.37825405e-01	(2.50000000e-02 9.75000000e-01 5.00000000e-01)	6.91889657e-01	(9.75000000e-01 9.75000000e-01 5.00000000e-01)
