"N","Time","avg(T)","avg(X)","avg(Y)","avg(Z)","max(T)","max(X)","max(Y)","max(Z)","med(T)","med(X)","med(Y)","med(Z)","min(T)","min(X)","min(Y)","min(Z)","q1(T)","q1(X)","q1(Y)","q1(Z)","q3(T)","q3(X)","q3(Y)","q3(Z)","std(T)","std(X)","std(Y)","std(Z)","vtkValidPointMask"
1,5,6.959e-18,3.5,0,0.5,6.959e-18,3.5,0,0.5,6.959e-18,3.5,0,0.5,6.959e-18,3.5,0,0.5,6.959e-18,3.5,0,0.5,6.959e-18,3.5,0,0.5,0,0,0,0,1
1,10,8.2723e-09,3.5,0,0.5,8.2723e-09,3.5,0,0.5,8.2723e-09,3.5,0,0.5,8.2723e-09,3.5,0,0.5,8.2723e-09,3.5,0,0.5,8.2723e-09,3.5,0,0.5,0,0,0,0,1
1,15,0.00026539,3.5,0,0.5,0.00026539,3.5,0,0.5,0.00026539,3.5,0,0.5,0.00026539,3.5,0,0.5,0.00026539,3.5,0,0.5,0.00026539,3.5,0,0.5,0,0,0,0,1
1,20,0.02935,3.5,0,0.5,0.02935,3.5,0,0.5,0.02935,3.5,0,0.5,0.02935,3.5,0,0.5,0.02935,3.5,0,0.5,0.02935,3.5,0,0.5,0,0,0,0,1
1,25,0.19833,3.5,0,0.5,0.19833,3.5,0,0.5,0.19833,3.5,0,0.5,0.19833,3.5,0,0.5,0.19833,3.5,0,0.5,0.19833,3.5,0,0.5,0,0,0,0,1
1,30,0.41162,3.5,0,0.5,0.41162,3.5,0,0.5,0.41162,3.5,0,0.5,0.41162,3.5,0,0.5,0.41162,3.5,0,0.5,0.41162,3.5,0,0.5,0,0,0,0,1
1,35,0.55176,3.5,0,0.5,0.55176,3.5,0,0.5,0.55176,3.5,0,0.5,0.55176,3.5,0,0.5,0.55176,3.5,0,0.5,0.55176,3.5,0,0.5,0,0,0,0,1
1,40,0.62542,3.5,0,0.5,0.62542,3.5,0,0.5,0.62542,3.5,0,0.5,0.62542,3.5,0,0.5,0.62542,3.5,0,0.5,0.62542,3.5,0,0.5,0,0,0,0,1
1,45,0.66003,3.5,0,0.5,0.66003,3.5,0,0.5,0.66003,3.5,0,0.5,0.66003,3.5,0,0.5,0.66003,3.5,0,0.5,0.66003,3.5,0,0.5,0,0,0,0,1
1,50,0.67502,3.5,0,0.5,0.67502,3.5,0,0.5,0.67502,3.5,0,0.5,0.67502,3.5,0,0.5,0.67502,3.5,0,0.5,0.67502,3.5,0,0.5,0,0,0,0,1
1,55,0.68122,3.5,0,0.5,0.68122,3.5,0,0.5,0.68122,3.5,0,0.5,0.68122,3.5,0,0.5,0.68122,3.5,0,0.5,0.68122,3.5,0,0.5,0,0,0,0,1
1,60,0.6837,3.5,0,0.5,0.6837,3.5,0,0.5,0.6837,3.5,0,0.5,0.6837,3.5,0,0.5,0.6837,3.5,0,0.5,0.6837,3.5,0,0.5,0,0,0,0,1
1,65,0.68468,3.5,0,0.5,0.68468,3.5,0,0.5,0.68468,3.5,0,0.5,0.68468,3.5,0,0.5,0.68468,3.5,0,0.5,0.68468,3.5,0,0.5,0,0,0,0,1
1,70,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,75,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,80,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,85,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,90,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,95,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,100,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,105,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,110,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,115,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
1,120,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0.68498,3.5,0,0.5,0,0,0,0,1
