# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.01            	U               	(-2.44304841e-02 -2.52881637e-02 -3.80406738e-20)	(9.35204263e-01 9.31194521e-01 5.00000000e-01)	(7.61710261e-03 1.06609467e-02 9.21006116e-21)	(2.11444709e-01 9.68365300e-01 5.00000000e-01)
0.01            	p               	-1.57625575e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.58467307e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.02            	U               	(-4.67654891e-02 -4.97373613e-02 -2.40356582e-20)	(9.35204263e-01 9.31194521e-01 5.00000000e-01)	(-1.76405203e-03 2.47816869e-02 5.75633102e-22)	(1.61681668e-01 9.61101976e-01 5.00000000e-01)
0.02            	p               	-1.42167931e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.50647774e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.03            	U               	(-6.48717284e-02 -7.25064636e-02 -2.12628432e-20)	(9.35204263e-01 9.31194521e-01 5.00000000e-01)	(1.19457385e-04 1.41979293e-02 1.09943536e-20)	(2.11118406e-01 9.55709992e-01 5.00000000e-01)
0.03            	p               	-1.24470132e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.43713782e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.04            	U               	(-7.85525629e-02 -9.34891766e-02 -1.91526197e-20)	(9.35204263e-01 9.31194521e-01 5.00000000e-01)	(2.91208943e-02 1.45148171e-02 9.87007842e-21)	(2.11118406e-01 9.55709992e-01 5.00000000e-01)
0.04            	p               	-1.14931579e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.38209058e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.05            	U               	(-8.81802520e-02 -1.12827169e-01 -1.74411973e-20)	(9.35204263e-01 9.31194521e-01 5.00000000e-01)	(1.77396980e-02 2.49853482e-02 1.64016126e-20)	(1.86277687e-01 9.50626174e-01 5.00000000e-01)
0.05            	p               	-1.09373745e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.33983420e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.06            	U               	(-3.25817052e-02 -1.25806707e-02 -2.55771246e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(4.21336355e-02 2.59933740e-02 1.55176980e-20)	(1.86277687e-01 9.50626174e-01 5.00000000e-01)
0.06            	p               	-1.06066192e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.31148509e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.07            	U               	(-3.59846504e-02 -1.35912331e-02 -2.33923144e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(6.55912668e-02 2.68206091e-02 1.47196904e-20)	(1.86277687e-01 9.50626174e-01 5.00000000e-01)
0.07            	p               	-1.03408545e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.29122561e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.08            	U               	(-3.91586361e-02 -1.45147486e-02 -2.16063236e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(3.06867658e-02 4.40782086e-02 1.10384855e-20)	(1.61432238e-01 9.45541389e-01 5.00000000e-01)
0.08            	p               	-1.01423606e+00	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.27549512e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.09            	U               	(-4.21522434e-02 -1.53695776e-02 -2.01487105e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(4.64670280e-02 4.61027545e-02 1.06916079e-20)	(1.61432238e-01 9.45541389e-01 5.00000000e-01)
0.09            	p               	-9.98775242e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.26667303e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.1             	U               	(-4.49978808e-02 -1.61679804e-02 -1.88587013e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(6.08868243e-02 4.80437665e-02 1.03533936e-20)	(1.61432238e-01 9.45541389e-01 5.00000000e-01)
0.1             	p               	-9.85794633e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.25594307e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.11            	U               	(-4.77213209e-02 -1.69217210e-02 -1.78076761e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(7.39417786e-02 4.99041311e-02 1.00746390e-20)	(1.61432238e-01 9.45541389e-01 5.00000000e-01)
0.11            	p               	-9.75063905e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.24910321e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.12            	U               	(-5.03401356e-02 -1.76346605e-02 -1.68644985e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(8.57113368e-02 5.16988455e-02 9.82311058e-21)	(1.61432238e-01 9.45541389e-01 5.00000000e-01)
0.12            	p               	-9.65936023e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.24380945e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.13            	U               	(-5.28683608e-02 -1.83120942e-02 -1.60327373e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(1.05062090e-01 9.56239310e-02 6.00554464e-21)	(1.11904300e-01 9.53836560e-01 5.00000000e-01)
0.13            	p               	-9.58124595e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.23969078e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.14            	U               	(-5.53211031e-02 -1.89573739e-02 -1.53056324e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(1.12104825e-01 9.82651753e-02 5.86530814e-21)	(1.11904300e-01 9.53836560e-01 5.00000000e-01)
0.14            	p               	-9.51265431e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.23674308e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.15            	U               	(-5.77091537e-02 -1.95729608e-02 -1.46721002e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(1.18217738e-01 1.00649074e-01 5.74933868e-21)	(1.11904300e-01 9.53836560e-01 5.00000000e-01)
0.15            	p               	-9.45501076e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.23474828e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.16            	U               	(-6.00362351e-02 -2.01617763e-02 -1.40620011e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(1.23537052e-01 1.02817131e-01 5.63438418e-21)	(1.11904300e-01 9.53836560e-01 5.00000000e-01)
0.16            	p               	-9.40200785e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.23270590e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.17            	U               	(-6.23069020e-02 -2.07248078e-02 -1.35008698e-20)	(6.22871970e-01 6.59455673e-01 5.00000000e-01)	(1.28179121e-01 1.04792196e-01 5.52670295e-21)	(1.11904300e-01 9.53836560e-01 5.00000000e-01)
0.17            	p               	-9.35477359e-01	(1.23656188e-02 9.87863062e-01 5.00000000e-01)	1.23121691e+00	(9.87329092e-01 9.87218213e-01 5.00000000e-01)
0.18            	U               	(-7.68984329e-02 -2.48075332e-01 -1.30107443e-20)	(9.60024232e-01 8.80687678e-01 5.00000000e-01)	(1.32289129e-01 1.06586292e-01 5.42313172e-21)	(1.11904300e-01 9.53836560e-01 5.00000000e-01)
