# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.001           	U               	(5.17602469e-29 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)	(5.17602469e-29 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)
0.001           	p               	1.00000000e-01	(5.29500000e-01 5.00000000e-01 5.00000000e-01)	1.00000000e+00	(4.63500000e-01 5.00000000e-01 5.00000000e-01)
0.001           	T               	2.78000000e-03	(5.25500000e-01 5.00000000e-01 5.00000000e-01)	3.51326782e-03	(5.00500000e-01 5.00000000e-01 5.00000000e-01)
0.002           	U               	(5.17602469e-29 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)	(5.17602469e-29 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)
0.002           	p               	1.00000000e-01	(9.42500000e-01 5.00000000e-01 5.00000000e-01)	1.00000000e+00	(4.64500000e-01 5.00000000e-01 5.00000000e-01)
0.002           	T               	2.78000000e-03	(5.29500000e-01 5.00000000e-01 5.00000000e-01)	3.48000000e-03	(1.85000000e-02 5.00000000e-01 5.00000000e-01)
0.003           	U               	(-1.37224293e-24 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)	(-1.37224293e-24 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)
0.003           	p               	1.00000000e-01	(9.72500000e-01 5.00000000e-01 5.00000000e-01)	1.00000000e+00	(1.99500000e-01 5.00000000e-01 5.00000000e-01)
0.003           	T               	2.78000000e-03	(5.97500000e-01 5.00000000e-01 5.00000000e-01)	3.54819419e-03	(5.03500000e-01 5.00000000e-01 5.00000000e-01)
0.004           	U               	(-1.37224293e-24 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)	(-1.37224293e-24 0.00000000e+00 0.00000000e+00)	(5.00000000e-04 5.00000000e-01 5.00000000e-01)
0.004           	p               	1.00000000e-01	(6.83500000e-01 5.00000000e-01 5.00000000e-01)	1.00000000e+00	(4.50500000e-01 5.00000000e-01 5.00000000e-01)
0.004           	T               	2.65736625e-03	(5.00500000e-01 5.00000000e-01 5.00000000e-01)	3.61565454e-03	(5.05500000e-01 5.00000000e-01 5.00000000e-01)
