# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
1              	6.76911875e-02	2.11762835e+01	7.04059877e-01	4.19721126e-01	2.84338751e-01
2              	5.45801711e-02	1.47976166e+01	-4.90908413e-02	3.00347505e-02	-7.91255918e-02
3              	4.23115415e-02	-8.22546039e-01	-1.00635813e+00	-4.60867524e-01	-5.45490607e-01
4              	3.25222168e-02	-9.01728565e+00	-1.23797675e+00	-5.86466160e-01	-6.51510593e-01
5              	2.77730957e-02	-5.70204931e+00	-7.53835947e-01	-3.49144878e-01	-4.04691069e-01
6              	2.69629383e-02	1.99178175e+00	-2.25307336e-01	-8.56907296e-02	-1.39616606e-01
7              	2.72614035e-02	6.08807298e+00	-1.34969242e-01	-4.02232175e-02	-9.47460245e-02
8              	2.46205607e-02	4.45795343e+00	-4.13930039e-01	-1.82344459e-01	-2.31585580e-01
9              	2.09852890e-02	5.23734891e-01	-6.94086509e-01	-3.26057966e-01	-3.68028544e-01
10             	1.75865543e-02	-1.69276753e+00	-7.10275469e-01	-3.37551180e-01	-3.72724289e-01
11             	1.46681075e-02	-1.01124360e+00	-5.22920556e-01	-2.46792171e-01	-2.76128386e-01
12             	1.19601435e-02	9.91261434e-01	-3.56181916e-01	-1.66130815e-01	-1.90051102e-01
13             	1.07435377e-02	2.26970283e+00	-3.40493990e-01	-1.59503457e-01	-1.80990533e-01
14             	9.95188887e-03	2.08668480e+00	-4.17221450e-01	-1.98658836e-01	-2.18562614e-01
15             	9.21472161e-03	1.10506924e+00	-4.64718480e-01	-2.23144519e-01	-2.41573962e-01
16             	8.17652090e-03	3.90560265e-01	-4.29083396e-01	-2.06365177e-01	-2.22718219e-01
17             	6.85100307e-03	4.41988673e-01	-3.48973494e-01	-1.67635744e-01	-1.81337750e-01
18             	5.59913323e-03	9.79989016e-01	-2.87414665e-01	-1.38108199e-01	-1.49306466e-01
19             	4.85449608e-03	1.42897844e+00	-2.65846265e-01	-1.28068637e-01	-1.37777629e-01
20             	4.55722090e-03	1.47245586e+00	-2.58080456e-01	-1.24483007e-01	-1.33597449e-01
21             	4.28278800e-03	1.21827210e+00	-2.32858084e-01	-1.12146254e-01	-1.20711830e-01
22             	3.77772857e-03	9.77998049e-01	-1.85822784e-01	-8.91336634e-02	-9.66891205e-02
23             	3.07998506e-03	9.50814670e-01	-1.33495962e-01	-6.36679959e-02	-6.98279660e-02
24             	2.39002503e-03	1.09659696e+00	-8.96261362e-02	-4.24230431e-02	-4.72030931e-02
25             	1.89696122e-03	1.24540596e+00	-5.29547847e-02	-2.45804311e-02	-2.83743536e-02
26             	1.60842322e-03	1.27810511e+00	-1.41467463e-02	-5.46494995e-03	-8.68179639e-03
27             	1.37693669e-03	1.20714674e+00	3.17954601e-02	1.72746667e-02	1.45207933e-02
28             	1.09799629e-03	1.12445561e+00	8.14858527e-02	4.18409227e-02	3.96449301e-02
29             	7.74153429e-04	1.10042306e+00	1.28420794e-01	6.49845506e-02	6.34362437e-02
30             	4.72024736e-04	1.13327522e+00	1.70222368e-01	8.55832089e-02	8.46391594e-02
31             	2.45169444e-04	1.17465724e+00	2.09432846e-01	1.04961592e-01	1.04471253e-01
32             	1.01223322e-04	1.18466945e+00	2.48919671e-01	1.24561059e-01	1.24358612e-01
33             	2.23225624e-05	1.16188184e+00	2.88623491e-01	1.44334068e-01	1.44289423e-01
34             	-8.35057732e-06	1.13167597e+00	3.25789322e-01	1.62886310e-01	1.62903011e-01
35             	6.95053211e-06	1.11663615e+00	3.58093731e-01	1.79053816e-01	1.79039915e-01
36             	7.41827545e-05	1.11905534e+00	3.85269878e-01	1.92709122e-01	1.92560756e-01
37             	1.93394529e-04	1.12628593e+00	4.08398917e-01	2.04392853e-01	2.04006064e-01
38             	3.63445768e-04	1.12623229e+00	4.28262073e-01	2.14494482e-01	2.13767591e-01
39             	5.80768666e-04	1.11675768e+00	4.44397277e-01	2.22779407e-01	2.21617870e-01
40             	8.40862459e-04	1.10389213e+00	4.55817511e-01	2.28749618e-01	2.27067893e-01
41             	1.13913486e-03	1.09408999e+00	4.61945611e-01	2.32111940e-01	2.29833671e-01
42             	1.46942230e-03	1.08921392e+00	4.62481700e-01	2.32710272e-01	2.29771428e-01
43             	1.82178977e-03	1.08674155e+00	4.57430062e-01	2.30536821e-01	2.26893241e-01
44             	2.18453344e-03	1.08318960e+00	4.46965473e-01	2.25667270e-01	2.21298203e-01
45             	2.54974178e-03	1.07711392e+00	4.31204167e-01	2.18151825e-01	2.13052341e-01
46             	2.90935816e-03	1.06954477e+00	4.10180084e-01	2.07999400e-01	2.02180684e-01
47             	3.25197495e-03	1.06226308e+00	3.83909913e-01	1.95206931e-01	1.88702981e-01
48             	3.56738519e-03	1.05623000e+00	3.52496820e-01	1.79815795e-01	1.72681025e-01
49             	3.84323318e-03	1.05110274e+00	3.16174291e-01	1.61930379e-01	1.54243912e-01
50             	4.06546454e-03	1.04592221e+00	2.75348126e-01	1.41739528e-01	1.33608599e-01
51             	4.22168087e-03	1.04021658e+00	2.30515118e-01	1.19479240e-01	1.11035878e-01
52             	4.30183178e-03	1.03417782e+00	1.82260814e-01	9.54322388e-02	8.68285753e-02
53             	4.29991384e-03	1.02836025e+00	1.31201670e-01	6.99007488e-02	6.13009211e-02
54             	4.20771354e-03	1.02305648e+00	7.80381449e-02	4.32267860e-02	3.48113589e-02
55             	4.01914535e-03	1.01829718e+00	2.35502517e-02	1.57942712e-02	7.75598052e-03
56             	3.73202291e-03	1.01402406e+00	-3.11481058e-02	-1.18420300e-02	-1.93060758e-02
57             	3.34858495e-03	1.01042614e+00	-8.47353107e-02	-3.90190704e-02	-4.57162403e-02
58             	2.87737943e-03	1.00738383e+00	-1.35450652e-01	-6.48479465e-02	-7.06027053e-02
59             	2.33163307e-03	1.00444240e+00	-1.81480522e-01	-8.84086280e-02	-9.30718942e-02
60             	1.72634015e-03	1.00284688e+00	-2.21623250e-01	-1.09085285e-01	-1.12537965e-01
61             	1.07471972e-03	1.00456462e+00	-2.55294607e-01	-1.26572584e-01	-1.28722023e-01
62             	3.90672353e-04	1.00905032e+00	-2.81313557e-01	-1.40266106e-01	-1.41047451e-01
63             	-3.11062328e-04	1.01371858e+00	-2.97287255e-01	-1.48954690e-01	-1.48332565e-01
64             	-1.01548876e-03	1.02001263e+00	-3.02055655e-01	-1.52043317e-01	-1.50012339e-01
65             	-1.70028876e-03	1.02867561e+00	-2.96093062e-01	-1.49746820e-01	-1.46346242e-01
66             	-2.33953171e-03	1.03731944e+00	-2.79025524e-01	-1.41852294e-01	-1.37173230e-01
67             	-2.90794691e-03	1.04665530e+00	-2.51415203e-01	-1.28615548e-01	-1.22799654e-01
68             	-3.37865811e-03	1.05625652e+00	-2.14794550e-01	-1.10775933e-01	-1.04018617e-01
69             	-3.72436479e-03	1.06581554e+00	-1.68979568e-01	-8.82141488e-02	-8.07654193e-02
70             	-3.91330620e-03	1.07450395e+00	-1.16208645e-01	-6.20176286e-02	-5.41910162e-02
71             	-3.91195259e-03	1.08214401e+00	-5.77523228e-02	-3.27881140e-02	-2.49642088e-02
72             	-3.69054660e-03	1.08845366e+00	4.61551630e-03	-1.38278845e-03	5.99830475e-03
73             	-3.22410273e-03	1.08974273e+00	6.80548529e-02	3.08033237e-02	3.72515292e-02
74             	-2.50609928e-03	1.08813035e+00	1.30388439e-01	6.26881202e-02	6.77003187e-02
75             	-1.56191997e-03	1.08538003e+00	1.88828348e-01	9.28522543e-02	9.59760942e-02
76             	-4.52012284e-04	1.08249205e+00	2.40246808e-01	1.19671392e-01	1.20575416e-01
77             	7.34846998e-04	1.08317670e+00	2.83340104e-01	1.42404899e-01	1.40935205e-01
78             	1.91187860e-03	1.08698305e+00	3.16660505e-01	1.60242131e-01	1.56418374e-01
79             	3.00844490e-03	1.09231508e+00	3.38205840e-01	1.72111365e-01	1.66094475e-01
