# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
1              	p              	-5.18653113e+00	(1.03340804e+00 4.06193460e-02 -2.57200967e-17)	7.10714085e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1              	U              	(7.21436310e-01 -8.32626286e-02 4.78989402e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(9.95588947e-01 3.17230319e-01 6.23530981e-18)	(7.76278584e-01 -9.84821267e-01 0.00000000e+00)
2              	p              	-3.36543475e+00	(9.02460191e-01 -5.05390026e-01 -2.60097559e-17)	5.01693461e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2              	U              	(-1.94496913e-02 -4.11717517e-01 -7.54723410e-18)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)	(1.53000941e+00 -1.82277848e-02 4.57772912e-18)	(1.38518882e-01 1.16988515e+00 -4.34292794e-17)
3              	p              	-2.56399822e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	1.29095602e+00	(1.16988515e+00 1.38518882e-01 -3.37112276e-17)
3              	U              	(3.32724103e-01 -3.20855453e-01 -4.98712079e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.65495241e+00 8.98592370e-02 1.99544109e-18)	(4.33950669e-02 1.10382177e+00 0.00000000e+00)
4              	p              	-3.75308050e+00	(-5.74617736e-01 -8.60004273e-01 1.36050775e-17)	2.86850955e+00	(1.02709283e+00 1.21582604e-01 0.00000000e+00)
4              	U              	(-1.92333068e-01 3.38072735e-04 -8.99068116e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.18104117e+00 7.14062833e-01 2.03096497e-18)	(-5.75773652e-01 1.02819339e+00 2.16922001e-17)
5              	p              	-2.26289161e+00	(-6.40292572e-01 -8.12236333e-01 -1.36210266e-17)	1.47775773e+00	(1.02709283e+00 1.21582604e-01 0.00000000e+00)
5              	U              	(-3.15093301e-01 1.65612872e-01 -2.64465686e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.00237396e+00 4.95193534e-01 1.94037430e-18)	(-7.99439823e-01 8.64881065e-01 -2.17817953e-17)
6              	p              	-7.26735463e-01	(1.24528550e+00 1.47461948e-01 1.02498209e-17)	9.49630855e-01	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
6              	U              	(-1.47545114e-01 4.44106630e-02 -1.07282464e-18)	(5.74617736e-01 8.60004273e-01 1.32081388e-17)	(2.61609727e-01 1.52381858e-01 2.74266491e-18)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)
7              	p              	-1.57558409e+00	(1.02709283e+00 1.21582604e-01 0.00000000e+00)	2.20979249e+00	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
7              	U              	(8.58374885e-02 -5.86439667e-02 2.81993053e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(3.77702999e-01 2.15257710e-01 6.09751951e-18)	(1.48871873e+00 -1.76335018e-01 0.00000000e+00)
8              	p              	-1.18936796e+00	(7.59452234e-01 -7.02007805e-01 4.01223280e-17)	1.51814671e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
8              	U              	(-5.83069447e-02 -1.28899225e-01 -2.36297043e-18)	(1.23018880e+00 2.44772705e-01 -9.47767350e-18)	(1.39672293e+00 9.45051380e-02 1.29374312e-18)	(1.47461948e-01 1.24528550e+00 1.97398130e-17)
9              	p              	-1.91419241e+00	(4.06193460e-02 -1.03340804e+00 0.00000000e+00)	3.79082968e-01	(1.76031046e+00 2.08547904e-01 0.00000000e+00)
9              	U              	(-1.73247869e-01 -9.65472040e-02 -4.21558098e-18)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)	(1.43010566e+00 8.00155406e-02 2.04001949e-18)	(1.47461948e-01 1.24528550e+00 1.97398130e-17)
