# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
1              	p              	-1.80752500e+01	(1.02709283e+00 1.21582604e-01 0.00000000e+00)	2.11488188e+01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
1              	U              	(5.17145547e-01 -7.09839949e-02 3.32515643e-19)	(-9.95500333e-01 -2.80771032e-01 0.00000000e+00)	(9.81662270e-01 3.15554579e-01 6.51787345e-18)	(7.76278584e-01 -9.84821267e-01 0.00000000e+00)
2              	p              	-1.26136157e+01	(1.03340804e+00 4.06193460e-02 -2.57200967e-17)	1.56843735e+01	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
2              	U              	(8.65933037e-02 -2.69803010e-01 -5.45745227e-18)	(1.10565837e+00 4.07913059e-01 1.04508224e-17)	(1.43322825e+00 -9.30194039e-02 3.72429904e-18)	(1.38518882e-01 1.16988515e+00 -4.34292794e-17)
3              	p              	-2.89703194e+00	(-1.21582604e-01 -1.02709283e+00 0.00000000e+00)	2.66044402e+00	(1.16988515e+00 1.38518882e-01 -3.37112276e-17)
3              	U              	(1.20881596e-01 -5.20768426e-01 -1.26907147e-18)	(-1.32795511e+00 -4.89939430e-01 -1.71634959e-17)	(1.57635754e+00 -1.89996868e-02 6.44096155e-19)	(5.55685452e-02 1.41263523e+00 0.00000000e+00)
4              	p              	-9.99031051e+00	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)	9.56819739e+00	(1.02709283e+00 1.21582604e-01 0.00000000e+00)
4              	U              	(7.67141543e-02 -1.83647812e-01 -1.97909733e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.47392138e+00 -3.21821402e-02 1.36826171e-18)	(5.55685452e-02 1.41263523e+00 0.00000000e+00)
5              	p              	-5.56201744e+00	(-1.03340804e+00 -4.06193460e-02 0.00000000e+00)	5.14921834e+00	(1.02709283e+00 1.21582604e-01 0.00000000e+00)
5              	U              	(3.72516038e-02 -6.57140723e-02 -8.96243852e-19)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.16256681e+00 4.99603710e-03 7.44648964e-19)	(2.71032507e+01 1.93303998e+01 -1.24641126e-17)
6              	p              	-2.84569253e+00	(1.02709283e+00 1.21582604e-01 0.00000000e+00)	3.29946102e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
6              	U              	(5.77042407e-02 -5.34726842e-02 0.00000000e+00)	(-1.01443079e+00 -2.01798769e-01 0.00000000e+00)	(9.61792863e-01 1.81789513e-01 7.77115304e-19)	(-1.48315909e+00 1.60471714e+00 0.00000000e+00)
7              	p              	-5.72990073e+00	(1.02709283e+00 1.21582604e-01 0.00000000e+00)	6.72918071e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
