# Force coefficients
# liftDir      : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis    : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf      : 1.00000000e+00
# lRef         : 1.00000000e+00
# Aref         : 2.00000000e+00
# CofR         : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time         	Cm             	Cd             	Cl             	Cl(f)          	Cl(r)          
0.05           	5.17682460e-01	8.29804473e+01	-5.24041538e+00	-2.10252523e+00	-3.13789015e+00
0.1            	2.87228358e-01	-2.87994651e+01	2.71338824e+00	1.64392248e+00	1.06946576e+00
0.15           	1.96521001e-01	7.60700888e+00	-9.19850210e-01	-2.63404104e-01	-6.56446106e-01
0.2            	1.63473778e-01	5.44835529e+00	-3.01988434e-01	1.24795614e-02	-3.14467995e-01
0.25           	1.46891644e-01	5.07570998e+00	-3.70841760e-01	-3.85292357e-02	-3.32312524e-01
0.3            	1.35205072e-01	4.67626199e+00	-3.89054538e-01	-5.93221968e-02	-3.29732341e-01
0.35           	1.25859308e-01	4.39527612e+00	-4.03332779e-01	-7.58070811e-02	-3.27525698e-01
0.4            	1.18185942e-01	4.17838231e+00	-4.14837326e-01	-8.92327211e-02	-3.25604605e-01
0.45           	1.11791847e-01	4.00201225e+00	-4.24366407e-01	-1.00391356e-01	-3.23975051e-01
0.5            	1.06366491e-01	3.85503824e+00	-4.32783999e-01	-1.10025508e-01	-3.22758490e-01
0.55           	1.01679271e-01	3.73079727e+00	-4.39851304e-01	-1.18246381e-01	-3.21604923e-01
0.6            	9.75650515e-02	3.62474015e+00	-4.46206413e-01	-1.25538155e-01	-3.20668258e-01
0.65           	9.39053785e-02	3.53310063e+00	-4.51609349e-01	-1.31899296e-01	-3.19710053e-01
0.7            	9.06129211e-02	3.45330247e+00	-4.56353470e-01	-1.37563814e-01	-3.18789656e-01
0.75           	8.76217621e-02	3.38311846e+00	-4.60522801e-01	-1.42639638e-01	-3.17883163e-01
0.8            	8.48811300e-02	3.32097967e+00	-4.64097320e-01	-1.47167530e-01	-3.16929790e-01
0.85           	8.23511704e-02	3.26569054e+00	-4.67316881e-01	-1.51307270e-01	-3.16009611e-01
0.9            	8.00002586e-02	3.21615967e+00	-4.70029475e-01	-1.55014479e-01	-3.15014996e-01
0.95           	7.78029609e-02	3.17158523e+00	-4.72311339e-01	-1.58352709e-01	-3.13958630e-01
1              	7.57384981e-02	3.13128572e+00	-4.74303284e-01	-1.61413144e-01	-3.12890140e-01
1.05           	7.37898161e-02	3.09470085e+00	-4.75955747e-01	-1.64188057e-01	-3.11767690e-01
1.1            	7.19427553e-02	3.06134624e+00	-4.77310486e-01	-1.66712488e-01	-3.10597998e-01
1.15           	7.01854455e-02	3.03086896e+00	-4.78428087e-01	-1.69028598e-01	-3.09399489e-01
