# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
0.05           	p              	-3.77629842e+01	(1.30675477e+01 -1.93303998e+01 1.31458292e-17)	5.08902860e+01	(8.50121714e+00 1.93303998e+01 -3.37940727e-17)
0.05           	U              	(3.02589629e-01 -4.86579629e-01 -3.93678871e-18)	(-1.03680492e+00 -3.82506484e-01 0.00000000e+00)	(1.59022669e+00 -7.31587616e-03 6.17118523e-18)	(4.62739455e-02 1.17685237e+00 3.30045855e-17)
0.1            	p              	-2.36408343e+01	(8.08050238e+00 1.80346557e+01 0.00000000e+00)	1.70630507e+01	(1.30675477e+01 -1.80346557e+01 1.39511689e-17)
0.1            	U              	(1.23998812e-01 -2.03243849e-01 -2.15975894e-18)	(7.02007805e-01 7.59452234e-01 0.00000000e+00)	(1.57238938e+00 -2.16262013e-02 1.21066138e-18)	(5.55685452e-02 1.41263523e+00 0.00000000e+00)
0.15           	p              	-1.52871533e+00	(5.74617736e-01 -8.60004273e-01 -1.32081388e-17)	2.02962293e+00	(-1.02709283e+00 1.21582604e-01 0.00000000e+00)
0.15           	U              	(7.82098358e-02 -2.01702847e-01 -3.59847333e-19)	(-9.39341130e-01 -4.33038181e-01 -1.43717227e-17)	(1.46014158e+00 3.31770554e-01 3.02082326e-19)	(-3.62010175e-01 1.28335018e+00 0.00000000e+00)
0.2            	p              	-1.18631535e+00	(2.80771032e-01 -9.95500333e-01 -1.35833420e-17)	1.22488940e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.2            	U              	(5.99003458e-02 -1.03262480e-01 -2.68434760e-19)	(1.06357317e+00 2.99983060e-01 0.00000000e+00)	(1.55010972e+00 -2.92061396e-02 1.72976831e-19)	(5.23566379e-02 1.33115645e+00 0.00000000e+00)
0.25           	p              	-1.16295838e+00	(2.80771032e-01 -9.95500333e-01 -1.35833420e-17)	1.17003607e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
0.25           	U              	(7.89348646e-02 -1.55179049e-01 -3.01456883e-19)	(-9.39341130e-01 -4.33038181e-01 -1.43717227e-17)	(1.23278052e+00 5.40984651e-01 2.73540491e-19)	(6.91464900e-01 -1.23486407e+00 -1.78905111e-17)
0.3            	p              	-1.13705962e+00	(2.80771032e-01 -9.95500333e-01 -1.35833420e-17)	1.09612616e+00	(-1.03340804e+00 4.06193460e-02 0.00000000e+00)
