# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
5.00000000e-04	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.92711727e+00	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)
5.00000000e-04	U              	(-5.50381274e-03 -1.20005859e-01 2.47618408e-01)	(7.50000000e-05 1.50000000e-04 1.50000000e-03)	(1.80291651e-01 2.48887790e-01 3.42605653e-01)	(9.41497050e-04 2.68590784e-04 1.50000000e-03)
1.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	8.06036331e+00	(-6.43409140e-04 1.20947902e-03 1.50000000e-03)
1.00000000e-03	U              	(-1.27213371e-02 -2.71010343e-02 2.86788603e-01)	(4.22323113e-04 1.39239555e-03 1.50000000e-03)	(1.66893598e-01 1.83309750e-01 8.99997085e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
1.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.73716941e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
1.50000000e-03	U              	(3.52086438e-02 -4.44832780e-02 5.32412537e-01)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)	(3.12503250e-01 1.32904634e-01 1.66984894e+00)	(-3.00000000e-04 7.50000000e-05 1.50000000e-03)
2.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	6.93929778e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
2.00000000e-03	U              	(-7.48184933e-02 -2.68842594e-01 2.56337227e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(3.50812348e-01 1.21165350e-01 9.03625722e-01)	(-3.00000000e-04 7.50000000e-05 1.50000000e-03)
2.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	6.22293080e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
2.50000000e-03	U              	(-7.60069118e-02 -2.72291210e-01 1.33066754e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(3.62665075e-01 1.11838107e-01 4.81977413e-01)	(-3.00000000e-04 7.50000000e-05 1.50000000e-03)
3.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.77216750e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.00000000e-03	U              	(-7.73343413e-02 -2.69126821e-01 9.97129739e-02)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(3.53868319e-01 1.21800305e-01 3.03657087e-01)	(-3.00000000e-04 7.50000000e-05 1.50000000e-03)
3.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.60926707e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
3.50000000e-03	U              	(-7.49453062e-02 -2.64831110e-01 1.13059159e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(3.56411463e-01 1.31279044e-01 3.25767541e-01)	(-3.00000000e-04 7.50000000e-05 1.50000000e-03)
4.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.59791787e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.00000000e-03	U              	(-7.27801484e-02 -2.66809879e-01 1.40393467e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(3.62502145e-01 1.34470148e-01 4.36326212e-01)	(-3.00000000e-04 7.50000000e-05 1.50000000e-03)
4.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.60273989e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
4.50000000e-03	U              	(-7.13328605e-02 -2.70538384e-01 1.56971135e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(3.64681255e-01 1.34404303e-01 5.37067028e-01)	(-3.00000000e-04 7.50000000e-05 1.50000000e-03)
5.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.56178672e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.00000000e-03	U              	(-7.03700299e-02 -2.74674988e-01 1.57120733e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(1.97577510e-01 2.84666836e-01 3.12500535e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
5.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.47915416e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
5.50000000e-03	U              	(-6.92886709e-02 -2.77885536e-01 1.46097539e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(1.99967625e-01 2.85414262e-01 3.12801467e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
6.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.39311859e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
6.00000000e-03	U              	(-6.79311299e-02 -2.79434884e-01 1.33613038e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(2.02582095e-01 2.83620768e-01 2.97370499e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
6.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.34107882e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
6.50000000e-03	U              	(-6.72424877e-02 -2.80322996e-01 1.27310235e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(2.04211224e-01 2.80232228e-01 2.81944498e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
7.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.33697922e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
7.00000000e-03	U              	(-6.69820206e-02 -2.80468278e-01 1.29064936e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(2.04817635e-01 2.77065400e-01 2.76480630e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
7.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.36828174e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
7.50000000e-03	U              	(-6.65676736e-02 -2.79280251e-01 1.36011833e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(2.04304926e-01 2.74010061e-01 2.81160304e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
8.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.41207866e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
8.00000000e-03	U              	(-6.56597051e-02 -2.76636494e-01 1.43938600e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(2.02798081e-01 2.70406593e-01 2.90716915e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
8.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.45055787e+00	(-6.35796848e-04 4.79267646e-05 1.50000000e-03)
8.50000000e-03	U              	(-6.41252319e-02 -2.72704581e-01 1.50063492e-01)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)	(2.00402387e-01 2.66314088e-01 3.00090667e-01)	(-3.75000000e-04 1.50000000e-04 1.50000000e-03)
