# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
5.00000000e-04	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	5.49255861e+01	(1.43951181e-04 -1.45036143e-03 1.50000000e-03)
5.00000000e-04	U              	(-6.64419368e-03 -4.38564224e-03 3.75050386e-01)	(1.12275892e-03 9.21183619e-04 1.50000000e-03)	(9.80887981e-03 1.43241121e-02 8.30074264e-01)	(-6.70601028e-04 -8.23881783e-04 1.50000000e-03)
1.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.07036767e+01	(-7.50000000e-05 1.94780470e-21 1.05000000e-02)
1.00000000e-03	U              	(-1.13732759e-02 -3.89793077e-02 1.02007274e+00)	(3.38127829e-04 1.14544992e-03 1.50000000e-03)	(2.26236155e-02 3.81269814e-03 1.12951313e+00)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)
1.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.69839605e+01	(1.43951181e-04 1.45036143e-03 1.50000000e-03)
1.50000000e-03	U              	(-9.81814042e-03 -3.45728598e-02 7.53470790e-01)	(3.96645657e-04 1.31708331e-03 1.50000000e-03)	(2.80979238e-02 2.77965295e-03 1.23749038e+00)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)
2.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.33949147e+01	(-7.50000000e-05 1.94780470e-21 1.35000000e-02)
2.00000000e-03	U              	(-1.56388125e-02 -5.38857869e-02 1.15881818e+00)	(3.38127829e-04 1.14544992e-03 1.50000000e-03)	(2.96528902e-02 -2.07535393e-05 1.30187833e+00)	(-5.25000000e-04 -6.81731646e-21 1.50000000e-03)
2.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.62539756e+01	(1.43951181e-04 1.45036143e-03 1.50000000e-03)
2.50000000e-03	U              	(-5.58636461e-03 -5.21968350e-02 9.78684061e-01)	(1.25743346e-04 1.29590637e-03 1.50000000e-03)	(3.30565190e-02 7.30299932e-03 1.33966045e+00)	(-5.62082873e-04 -1.39230795e-04 1.50000000e-03)
3.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.52351077e+01	(-1.12275892e-03 9.21183619e-04 1.50000000e-03)
3.00000000e-03	U              	(-2.90331258e-02 -5.62244803e-02 1.30213582e+00)	(4.95742714e-04 9.50868554e-04 1.50000000e-03)	(4.04436416e-02 3.76412865e-03 1.36707364e+00)	(-6.35796848e-04 -4.79267646e-05 1.50000000e-03)
3.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.69097257e+01	(1.43951181e-04 1.45036143e-03 1.50000000e-03)
3.50000000e-03	U              	(-7.04896310e-03 -6.61990769e-02 1.28436964e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.09102154e-02 1.95269184e-02 1.38480794e+00)	(-6.16107392e-04 -3.04594284e-04 1.50000000e-03)
4.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	4.70138487e+01	(-1.45036143e-03 -1.43951181e-04 1.50000000e-03)
4.00000000e-03	U              	(-7.16463729e-03 -6.77968712e-02 1.29429064e+00)	(1.04101843e-04 1.11232387e-03 1.50000000e-03)	(4.31347083e-02 3.44758680e-02 1.39813773e+00)	(-6.31068897e-04 -5.08944124e-04 1.50000000e-03)
