# Field minima and maxima
# Time         	field          	min            	location(min)  	max            	location(max)  
5.00000000e-04	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	7.06271901e+02	(-1.43951156e-04 1.45036143e-03 1.50000000e-03)
5.00000000e-04	U              	(-9.55270920e-03 -4.13761444e-04 3.50530130e-01)	(1.45036143e-03 -1.43951156e-04 1.50000000e-03)	(2.00781899e-04 2.84892284e-02 8.32810332e-01)	(-1.15389170e-04 -1.20807294e-03 1.50000000e-03)
1.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.91736713e+01	(9.21183639e-04 1.12275892e-03 1.50000000e-03)
1.00000000e-03	U              	(-1.43533591e-03 -1.25617620e-02 3.23325063e-01)	(1.43951156e-04 1.45036143e-03 1.50000000e-03)	(4.42152479e-03 4.31099553e-02 1.03052701e+00)	(-1.15389170e-04 -1.20807294e-03 1.50000000e-03)
1.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	3.59060889e+01	(1.43951156e-04 -1.45036143e-03 1.50000000e-03)
1.50000000e-03	U              	(-1.39453333e-03 1.30530117e-02 3.11058752e-01)	(1.43951156e-04 -1.45036143e-03 1.50000000e-03)	(5.43586840e-03 5.10481613e-02 1.10118254e+00)	(-1.15389170e-04 -1.20807294e-03 1.50000000e-03)
2.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	3.10198209e+01	(1.43951156e-04 1.45036143e-03 1.50000000e-03)
2.00000000e-03	U              	(-1.56839753e-04 -1.55281551e-04 2.15503707e-01)	(-1.43951156e-04 -1.45036143e-03 7.50000000e-03)	(6.09705489e-03 5.64122936e-02 1.21971426e+00)	(-1.04101859e-04 -1.11232386e-03 1.50000000e-03)
2.50000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.83728133e+01	(1.43951156e-04 -1.45036143e-03 1.50000000e-03)
2.50000000e-03	U              	(-1.36698385e-04 -1.41955782e-04 1.95709506e-01)	(-1.43951156e-04 -1.45036143e-03 7.50000000e-03)	(6.52576650e-03 6.08626854e-02 1.25102873e+00)	(-1.04101859e-04 -1.11232386e-03 1.50000000e-03)
3.00000000e-03	p              	0.00000000e+00	(-5.25000000e-04 0.00000000e+00 2.16000000e-01)	2.65560650e+01	(1.45036143e-03 -1.43951156e-04 1.50000000e-03)
3.00000000e-03	U              	(-1.20643736e-04 -1.20458333e-04 1.82776733e-01)	(-1.43951156e-04 -1.45036143e-03 7.50000000e-03)	(6.80783376e-03 6.40042837e-02 1.27122847e+00)	(-1.04101859e-04 -1.11232386e-03 1.50000000e-03)
